COD_COLEGIO,COLEGIO,TIPO_COLEGIO,MODACADEMICA
0,COLEGIO POR DEFECTO,IND,No oficial
000002,INSTITUCION DE EDUCACION MEDIA EXTRANJERA,OTR,No oficial
000003,INSTITUCION NO REGISTRADA,OTR,No oficial
000018,ATENEO HORIZONTE,PRV,No oficial
000026,COLEGIO BACHILLERATO NOCTURNO MARIA AUXILIADORA,NOC,No oficial
000034,BACHILLERATO NOCTURNO POPULAR SAN IGNACIO,NOC,No oficial
000042,CENTRO DE CULTURA BASICA BACHILLERATO NOCTURNO MIXTO,NOC,No oficial
000059,CENTRO FORMATIVO DE ANTIOQUIA CEFA,OFI,Oficial
000067,CENTRO FORMATIVO DE ANTIOQUIA,OFI,Oficial
000075,COLEGIO SANTOS ANGELES CUSTODIOS,OFI,Oficial
000083,COLEGIO BARBARA MICARELLI,PRV,No oficial
000091,COLEGIO BETHLEMITAS,PRV,No oficial
000117,COLEGIO BOLIVAR,PRV,No oficial
000125,COLEGIO CALASANZ FEMENINO,PRV,No oficial
000141,COLEGIO CALASANZ,PRV,No oficial
000158,COLEGIO CALASANZ NOCTURNO,NOC,No oficial
000174,COLEGIO CORAZONISTA,PRV,No oficial
000182,COLEGIO CRISTOBAL COLON (THE COLUMBUS SCHOOL),PRV,No oficial
000190,COLEGIO DE LA COMPAÑIA DE MARIA,PRV,No oficial
000208,COLEGIO DE LA PRESENTACION MEDELLIN,PRV,No oficial
000216,COLEGIO DE MARIA,PRV,No oficial
000232,COLEGIO EUCARISTICO DE LA MILAGROSA,PRV,No oficial
000240,INSTITUTO FERRINI,PRV,No oficial
000257,INSTITUTO FERRINI,PRV,No oficial
000265,INSTITUTO FERRINI,NOC,No oficial
000273,COLEGIO FRAY RAFAEL DE LA SERNA,PRV,No oficial
000281,COMUNIDAD COLEGIO JESUS MARIA,PRV,No oficial
000315,COLEGIO DE LA INMACULADA,PRV,No oficial
000349,COLEGIO LOS ALMENDROS,PRV,No oficial
000356,COLEGIO MADRE ANTONIA CERINI,PRV,No oficial
000364,COLEGIO MARIA AUXILIADORA,PRV,No oficial
000372,COLEGIO MARYMOUNT,PRV,No oficial
000380,COLEGIO MILITAR JOSE MARIA CORDOBA,PRV,No oficial
000398,COLEGIO NUESTRA MADRE DE MERCEDES,PRV,No oficial
000406,COLEGIO NUESTRA SEÑORA DEL ROSARIO DE CHIQUINQUIRA,PRV,No oficial
000422,COLEGIO NUESTRA SEÑORA DE LA PROVIDENCIA,PRV,No oficial
000430,COLEGIO PALERMO DE SAN JOSE,PRV,No oficial
000448,COLEGIO SAGRADOS CORAZONES,PRV,No oficial
000455,COLEGIO SALESIANO EL SUFRAGIO,PRV,No oficial
000463,COLEGIO SAN IGNACIO DE LOYOLA,PRV,No oficial
000471,COLEGIO SAN JOSE DE LA SALLE,PRV,No oficial
000489,COLEGIO SAN JOSE DE LAS VEGAS,PRV,No oficial
000497,COLEGIO SAN JUAN BOSCO,PRV,No oficial
000505,COLEGIO FEMENINO SANTA INES,PRV,No oficial
000521,COLEGIO SANTA MARIA DEL ROSARIO,PRV,No oficial
000539,FUNDACION EDUCATIVA COLEGIO SANTA MARIA DE LOS ANGELES,PRV,No oficial
000547,COLEGIO SANTA MARIA MAZZARELLO,PRV,No oficial
000554,COLEGIO SANTA TERESITA,PRV,No oficial
000588,GIMNASIO LOS CEDROS,PRV,No oficial
000596,COLEGIO GIMNASIO LOS PINARES,PRV,No oficial
000604,GIMNASIO TAGORE,PRV,No oficial
000638,COLEGIO NUEVO CERVANTES CONOCER,PRV,No oficial
000653,INSTITUTO COLOMBO VENEZOLANO,PRV,No oficial
000661,INSTITUTO CONRADO GONZALEZ MEJIA,PRV,No oficial
000679,CORPORACION EDUCATIVA INSTITUTO CULTURAL ATENAS,PRV,No oficial
000687,INSTITUCION EDUCATIVA FEDERICO OZANAM,OFI,Oficial
000703,LICEO MARGARITA CORREA DE ESCOBAR,OFI,Oficial
000711,COLEGIO SAMUEL BARRIENTOS RESTREPO,OFI,Oficial
000737,INSTITUTO EL POBLADO,PRV,No oficial
000752,COLEGIO JOSEFA DEL CASTILLO,PRV,No oficial
000760,INSTITUTO JORGE ROBLEDO,PRV,No oficial
000778,INSTITUTO MIGUEL DE UNAMUNO,PRV,No oficial
000786,INEM JOSE FELIX DE RESTREPO,OFI,Oficial
000794,INEM JOSE FELIX DE RESTREPO,OFI,Oficial
000810,INSTITUCION EDUCATIVA FEDERICO OZANAM,NOC,No oficial
000828,INSTITUTO NOCTURNO SAN FRANCISCO DE ASIS,NOC,No oficial
000836,INSTITUTO SALESIANO PEDRO JUSTO BERRIO,PRV,No oficial
000844,INSTITUTO SAN CARLOS,PRV,No oficial
000851,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,OFI,Oficial
000877,LICEO ANTONIO NARIÑO,PRV,No oficial
000919,LICEO DE BACHILLERATO DE LA UNIVERSIDAD DE MEDELLIN,PRV,No oficial
000927,LICEO DEPARTAMENTAL MIXTO BENJAMIN HERRERA,OFI,Oficial
000935,LICEO DEPARTAMENTAL GILBERTO ALZATE AVENDAÑO,OFI,Oficial
000943,INSTITUCION EDUCATIVA LOLA GONZALEZ,OFI,Oficial
000968,INSTITUCION EDUCATIVA JOSE ROBERTO VASQUEZ BARRIO MANRIQUE,OFI,Oficial
000984,LICEO LUCRECIO JARAMILLO VELEZ,OFI,Oficial
000992,INSTITUCION EDUCATIVA MANUEL J. BETANCUR,OFI,Oficial
001008,LICEO MIXTO MANUEL MOSQUERA MORENO,OTR,No oficial
001016,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ,OFI,Oficial
001024,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ,NOC,No oficial
001032,LICEO MUNICIPAL CONCEJO DE MEDELLIN,OFI,Oficial
001040,LICEO JAVIERA LONDOÑO,OFI,Oficial
001057,LICEO JAVIERA LONDOÑO,OFI,Oficial
001065,LICEO NOCTURNO SUPERIOR DE MEDELLIN,NOC,No oficial
001073,LICEO SALAZAR Y HERRERA,PRV,No oficial
001081,LICEO SAN RAFAEL,PRV,No oficial
001099,CORPORACION EDUCATIVA LICEO SUPERIOR DE MEDELLIN,PRV,No oficial
001115,BACHILLERATO MASCULINO DE LA UNIVERSIDAD PONTIFICIA BOLIVARIANA,PRV,No oficial
001123,ESCUELA NORMAL SUPERIOR ANTIOQUEÑA,PRV,No oficial
001131,COLEGIO LA ANUNCIACION,PRV,No oficial
001156,ESCUELA NORMAL NACIONAL DE VARONES ACADEMICO,OFI,Oficial
001164,COLEGIO NUESTRA SEÑORA DE LOURDES,PRV,No oficial
001198,SEMINARIO MENOR DE LA ARQUIDIOCESIS DE MEDELLIN,PRV,No oficial
001206,ESCUELA NORMAL SUPERIOR,OFI,Oficial
001214,LICEO DEPARTAMENTAL MANUEL CANUTO RESTREPO,OFI,Oficial
001222,LICEO SAN FERNANDO,OFI,Oficial
001230,INSTITUCION EDUCATIVA EDUARDO FERNANDEZ BOTERO,OFI,Oficial
001255,LICEO JUAN DE DIOS URIBE,OFI,Oficial
001263,LICEO SAN JOSE,OFI,Oficial
001271,LICEO DEPARTAMENTAL JESUS MARIA URREA,OFI,Oficial
001289,INSTITUCION EDUCATIVA SAN LUIS GONZAGA,OFI,Oficial
001297,INSTITUCION EDUCATIVA JOSE CELESTINO MUTIS,OFI,Oficial
001313,INSTITUTO UNIBAN,PRV,No oficial
001339,INSTITUCION EDUCATIVA SAN JUAN DE URABA,OFI,Oficial
001347,LICEO DEPARTAMENTAL INTEGRADO SANTA TERESA,OFI,Oficial
001362,INSTITUCION EDUCATIVA DIVINA EUCARISTIA,NOC,No oficial
001388,COLEGIO LA SALLE,PRV,No oficial
001396,INSTITUCION EDUCATIVA FERNANDO VELEZ,OFI,Oficial
001412,INSTITUTO PARROQUIAL JESUS DE LA BUENA ESPERANZA,PRV,No oficial
001420,LICEO ATANASIO GIRARDOT,OFI,Oficial
001438,INSTITUCION EDUCATIVA SUAREZ DE LA PRESENTACION,PRV,No oficial
001446,COLEGIO THEODORO HERTZL,PRV,No oficial
001453,COLEGIO PERLA DEL CITARA,OFI,Oficial
001461,LICEO SAN JOSE,OFI,Oficial
001479,INSTITUCION EDUCATIVA  SAN JOSE DEL CITARA,OFI,Oficial
001487,INSTITUCION EDUCATIVA MONSEÑOR GERARDO PATIÑO,OFI,Oficial
001495,INSTITUCION EDUCATIVA JOSE MARIA BERNAL,OFI,Oficial
001503,INSTITUCION EDUCATIVA PEDRO LUIS ALVAREZ CORREA,NOC,No oficial
001537,INSTITUCION EDUCATIVA NICOLAS GAVIRIA,OFI,Oficial
001538,INSTITUCION EDUCATIVA TECNICA LA SAGRADA FAMILIA,OFI,Oficial
001552,LICEO DEPARTAMENTAL GABRIEL CORREA VELEZ,OFI,Oficial
001578,LICEO JUAN PABLO GOMEZ OCHOA,OFI,Oficial
001586,INSTITUCION EDUCATIVA FRAY JULIO TOBON B.,OFI,Oficial
001594,INSTITUCION EDUCATIVA PRESBITERO JULIO TAMAYO,OFI,Oficial
001602,INSTITUCION EDUCATIVA LICEO CAUCASIA,OFI,Oficial
001610,INSTITUCION EDUCATIVA CISNEROS,OFI,Oficial
001628,COLEGIO LOS ANDES,OFI,Oficial
001644,LICEO COCORNA,OFI,Oficial
001651,INSTITUCION EDUCATIVA PRESBITERO LIBARDO AGUIRRE,OFI,Oficial
001669,LICEO DE JESUS,OFI,Oficial
001677,INSTITUCION EDUCATIVA PRESBITERO BERNARDO MONTOYA GIRALDO,OFI,Oficial
001685,ESCUELA NORMAL NACIONAL DE SEÑORITAS,OFI,Oficial
001693,COLEGIO COOPERATIVO JUAN DEL CORRAL,PRV,No oficial
001701,INSTITUCION EDUCATIVA SAN LUIS GONZAGA,OFI,Oficial
001727,LICEO JUAN H WHITE,OFI,Oficial
001735,LICEO DON MATIAS,OFI,Oficial
001743,INSTITUCION EDUCATIVA URBANA SAN JOSE,OFI,Oficial
001750,COLEGIO COOPERATIVO NUESTRA SEÑORA DE FATIMA,PRV,No oficial
001768,LICEO DEPARTAMENTAL INTEGRADO SAN LUIS BELTRAN,OFI,Oficial
001776,COLEGIO BENEDICTINO DE SANTA MARIA,PRV,No oficial
001784,COLEGIO COLOMBO BRITANICO,PRV,No oficial
001792,COLEGIO DE LA PRESENTACION,PRV,No oficial
001800,COLEGIO FEMENINO DE ENVIGADO COFE,PRV,No oficial
001818,COLEGIO LA SALLE,PRV,No oficial
001826,UNIDAD EDUCATIVA SAN MARCOS UNESAM,PRV,No oficial
001834,COLEGIO TERESIANO,PRV,No oficial
001859,INSTITUTO NOCTURNO DE BACHILLERATO,NOC,No oficial
001867,INSTITUCION EDUCATIVA LA PAZ,OFI,Oficial
001875,INSTITUCION EDUCATIVA LEON XIII,OFI,Oficial
001883,INSTITUCION EDUCATIVA MANUEL URIBE ANGEL,OFI,Oficial
001891,LICEO FRANCISCO RESTREPO MOLINA MIXTO,PRV,No oficial
001909,ESCUELA NORMAL SUPERIOR DE ENVIGADO,OFI,Oficial
001917,ESCUELA NORMAL MARIANO OSPINA RODRIGUEZ,OFI,Oficial
001925,INSTITUCION EDUCATIVA  EFE GOMEZ,OFI,Oficial
001933,ESCUELA NORMAL PEDRO ANTONIO ELEJALDE,OFI,Oficial
001941,COLEGIO DE LA PRESENTACION BACHILLERATO NOCTURNO,NOC,No oficial
001958,INSTITUCION EDUCATIVA MANUEL JOSE SIERRA,OFI,Oficial
001966,INSTITUCION EDUCATIVA GOMEZ PLATA,OFI,Oficial
001974,INSTITUCION EDUCATIVA JORGE ALBERTO GOMEZ GOMEZ,OFI,Oficial
001982,INSTITUCION EDUCATIVA SANTO TOMAS DE AQUINO,OFI,Oficial
002006,COLEGIO EL ROSARIO,PRV,No oficial
002014,COLEGIO LA INMACULADA,PRV,No oficial
002022,COLEGIO SAN JUAN EUDES,PRV,No oficial
002048,INSTITUTO CRISTO REY,PRV,No oficial
002055,LICEO CONCEJO MUNICIPAL DE ITAGUI,OFI,Oficial
002063,INSTITUCION EDUCATIVA SAN JOSE,OFI,Oficial
002071,LICEO DEPARTAMENTAL INTEGRADO ENRIQUE VELEZ ESCOBAR,OFI,Oficial
002097,LICEO DEPARTAMENTAL PEDRO NEL OSPINA,OFI,Oficial
002105,LICEO DEPARTAMENTAL INTEGRADO SAN ANTONIO,OFI,Oficial
002113,SEMINARIO CONCILIAR SAN JUAN EUDES,PRV,No oficial
002147,COLEGIO MARIA AUXILIADORA,PRV,No oficial
002154,COLEGIO SALESIANO SANTO DOMINGO SAVIO,PRV,No oficial
002170,INSTITUCION EDUCATIVA BERNARDO URIBE LONDOÑO,OFI,Oficial
002188,COLEGIO DE LA PRESENTACION,PRV,No oficial
002196,COLEGIO BERNARDO ARANGO MACIAS,OFI,Oficial
002204,COLEGIO DIVINO SALVADOR,PRV,No oficial
002212,SEMINARIO SERAFICO SAN JOSE,PRV,No oficial
002220,INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS,OFI,Oficial
002253,INSTITUCION EDUCATIVA FILIBERTO RESTREPO SIERRA,OFI,Oficial
002261,COLEGIO NACIONAL SAN JOSE,OFI,Oficial
002279,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL SIMONA DUQUE,OFI,Oficial
002287,INDEM MONSEÑOR EMILIO BOTERO GONZALEZ,NOC,No oficial
002295,INSTITUCION EDUCATIVA NORMAL SUPERIOR RAFAEL MARIA GIRALDO,OFI,Oficial
002303,COLEGIO MARIANO J. VILLEGAS,OFI,Oficial
002311,LICEO DEPARTAMENTAL INTEGRADO INMACULADA CONCEPCION,OFI,Oficial
002329,INSTITUCION EDUCATIVA EL SALVADOR,OFI,Oficial
002337,INSTITUCION EDUCATIVA  ANTONIO NARIÑO,OFI,Oficial
002352,LICEO DEPARTAMENTAL IGNACIO YEPES YEPES,OFI,Oficial
002360,COLEGIO DE LA PRESENTACION DE RIONEGRO,PRV,No oficial
002378,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL SANTIAGO DE ARMA,OFI,Oficial
002394,LICEO NOCTURNO DE RIONEGRO,NOC,No oficial
002402,INSTITUCION EDUCATIVA JOSEFINA MUÑOZ GONZALEZ,OFI,Oficial
002410,INSTITUCION EDUCATIVA JOSE MARIA CORDOBA,OFI,Oficial
002428,COLEGIO EL CARMELO,PRV,No oficial
002436,COLEGIO PADRE RAMON ARCILA RAMIREZ,PRV,No oficial
002451,ASPAEN GIMNASIO LOS ALCAZARES,PRV,No oficial
002469,INSTITUCION EDUCATIVA JOSE FELIX DE RESTREPO VELEZ,OFI,Oficial
002477,INSTITUCION EDUCATIVA JULIO RESTREPO,OFI,Oficial
002485,LICEO DEPARTAMENTAL INTEGRADO JUAN XXIII,OFI,Oficial
002493,INSTITUCION EDUCATIVA JOAQUIN CARDENAS GOMEZ,OFI,Oficial
002501,ESCUELA NORMAL SUPERIOR GENOVEVA DIAZ,OFI,Oficial
002519,COLEGIO FRANCISCO ABEL GALLEGO,OFI,Oficial
002527,LICEO DEPARTAMENTAL SAN LUIS,OFI,Oficial
002535,INSTITUCION EDUCATIVA PIO XII,OFI,Oficial
002543,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SEÑOR DE LOS MILAGROS,OFI,Oficial
002568,INSTITUCION EDUCATIVA SAN RAFAEL,OFI,Oficial
002576,INSTITUCION EDUCATIVA PRESBITERO ABRAHAM JARAMILLO,OFI,Oficial
002592,LICEO SAN VICENTE,OFI,Oficial
002618,COLEGIO CARDENAL ANIBAL MUÑOZ DUQUE,OFI,Oficial
002626,INSTITUCION EDUCATIVA RURAL MONSEÑOR MIGUEL ANGEL BUILES,OFI,Oficial
002634,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR PEDRO JUSTO BERRIO,OFI,Oficial
002642,SEMINARIO CONCILIAR SANTO TOMAS DE AQUINO,PRV,No oficial
002659,INSTITUCION EDUCATIVA TOMAS CARRASQUILLA,OFI,Oficial
002675,INSTITUCION EDUCATIVA PRESBITERO LUIS RODOLFO GOMEZ,OFI,Oficial
002683,COLEGIO MARIA AUXILIADORA DE EL SANTUARIO,PRV,No oficial
002691,COLEGIO LIBORIO BATALLER,OFI,Oficial
002717,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO ALVAREZ RESTREPO,OFI,Oficial
002725,GIMNASIO COOPERATIVO DEL ESPIRITU SANTO,PRV,No oficial
002733,LICEO BRAULIO MEJIA,OFI,Oficial
002741,INSTITUCION EDUCATIVA TÉCNICO AGROPECUARIO Y EN SALUD DE SONSON,OFI,Oficial
002766,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SANTA TERESITA,OFI,Oficial
002774,INSTITUCION EDUCATIVA JOSE MARIA VILLA,OFI,Oficial
002782,INSTITUCION EDUCATIVA AGRICOLA VICTOR MANUEL OROZCO,OFI,Oficial
002790,INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA,OFI,Oficial
002808,INSTITUCION EDUCATIVA SANTO TOMAS DE AQUINO,OFI,Oficial
002816,LICEO GONZALO MEJIA,OFI,Oficial
002824,ESCUELA NORMAL SUPERIOR SAGRADA FAMILIA,OFI,Oficial
002832,INSTITUCION EDUCATIVA MONSEÑOR J IVAN CADAVID GUTIERREZ,OFI,Oficial
002840,COLEGIO RAFAEL URIBE URIBE,OFI,Oficial
002865,INSTITUCION EDUCATIVA SAN JOSE DE VENECIA,OFI,Oficial
002873,BACHILLERATO NOCTURNO FRANCISCO LEONIN DE ESTRADA,NOC,No oficial
002881,COLEGIO DE MARIA,OFI,Oficial
002899,INSTITUCION EDUCATIVA SAN LUIS,OFI,Oficial
002907,ESCUELA NORMAL LA MERCED,PRV,No oficial
002915,LICEO EDUARDO AGUILAR VELEZ,OFI,Oficial
002923,INSTITUCION EDUCATIVA SANTO CRISTO DE ZARAGOZA,OFI,Oficial
002931,INSTITUCION EDUCATIVA EL BAGRE,OFI,Oficial
002956,INSTITUTO ARIANO,PRV,No oficial
002964,ATENEO TECNICO COMERCIAL,PRV,No oficial
002972,ATENEO TECNICO COMERCIAL,NOC,No oficial
002980,CENTRO COMERCIAL DE EDUCACION MEDIA RAFAEL NUÑEZ,PRV,No oficial
002998,CENTRO DE COMERCIO NOCTURNO JORGE N ABELLO SEMIESCOLARIZADO,NOC,No oficial
003004,CENTRO EDUCATIVO FEMENINO EL PINAR,PRV,No oficial
003012,CENTRO PANAMERICANO,PRV,No oficial
003020,CENTRO PANAMERICANO,NOC,No oficial
003038,COLEGIO MILITAR ACOOLSURE,PRV,No oficial
003046,COLEGIO ALEMAN,PRV,No oficial
003053,COLEGIO AMERICANO DE BARRANQUILLA,PRV,No oficial
003061,COLEGIO ADVENTISTA DEL ATLANTICO MAX TRUMMER,PRV,No oficial
003079,BACHILLERATO ANEXO A LA CORPORACION EDUCATIVA DEL LITORAL,PRV,No oficial
003103,COLEGIO BIFFI LA SALLE,PRV,No oficial
003111,COLEGIO OFICIAL DE BACHILLERATO CARLOS MEISEL,OFI,Oficial
003129,COLEGIO COLON,PRV,No oficial
003137,COLEGIO BARRANQUILLA PARA SEÑORITAS,OFI,Oficial
003145,COLEGIO DE BARRANQUILLA BACHILLERATO NOCTURNO,NOC,No oficial
003152,INSTITUCION EDUCATIVA COLEGIO DE BARRANQUILLA -CODEBA-,OFI,Oficial
003160,INSTITUCION EDUCATIVA DE MARIA AUXILIADORA,PRV,No oficial
003178,COLEGIO NUESTRA SEÑORA DEL BUEN CONSEJO,PRV,No oficial
003186,COLEGIO DE SAN FRANCISCO,PRV,No oficial
003194,NUEVO COLEGIO DEL PRADO,PRV,No oficial
003202,COLEGIO DEL SAGRADO CORAZON,PRV,No oficial
003210,COLEGIO COMPAÑIA DE MARIA LA ENSEÑANZA,PRV,No oficial
003236,COLEGIO DE LA COSTA,PRV,No oficial
003244,INSTITUCION EDUCATIVA DISTRITAL LAS NIEVES,OFI,Oficial
003251,COLEGIO ARQUIDIOCESANO ENRIQUE NIESSEN,PRV,No oficial
003269,COLEGIO EL DIVINO MAESTRO,PRV,No oficial
003277,COLEGIO EUCARISTICO DE LA MERCED,PRV,No oficial
003285,COLEGIO FERNANDEZ BAENA,PRV,No oficial
003293,COLEGIO FRANCISCO JOSE DE CALDAS,OFI,Oficial
003301,COLEGIO FRANCISCO DE PAULA SANTANDER,PRV,No oficial
003319,COLEGIO FRANCISCO DE PAULA SANTANDER,NOC,No oficial
003327,COLEGIO HEBREO UNION,PRV,No oficial
003335,INSTITUCION EDUCATIVA DISTRITAL HELENA DE CHAUVIN,OFI,Oficial
003343,COLEGIO ELENA DUQUE,PRV,No oficial
003350,COLEGIO LA MEDALLA MILAGROSA,PRV,No oficial
003368,COLEGIO SAN MIGUEL DEL ROSARIO,PRV,No oficial
003376,COLEGIO DE LA SAGRADA FAMILIA,PRV,No oficial
003384,COLEGIO LAURA VICUÑA,PRV,No oficial
003392,COLEGIO LEON XIII,PRV,No oficial
003400,INSTITUTO ABRAHAM LINCOLN,PRV,No oficial
003418,COLEGIO KARL C. PARRISH,PRV,No oficial
003426,COLEGIO MARCELES,PRV,No oficial
003434,INSTITUCION EDUCATIVA DISTRITAL MARCO FIDEL SUAREZ,OFI,Oficial
003459,COLEGIO MARYMOUNT,PRV,No oficial
003467,COLEGIO NACIONAL JOSE EUSEBIO CARO,OFI,Oficial
003475,COLEGIO NACIONAL JOSE EUSEBIO CARO,OFI,Oficial
003483,COLEGIO DISTRITAL NOCTURNO JOSE EUSEBIO CARO - CODINCARO,NOC,No oficial
003509,COLEGIO NUESTRA SEÑORA DE LOURDES,PRV,No oficial
003517,COLEGIO SALESIANO DE SAN ROQUE,PRV,No oficial
003525,COLEGIO SAN JOSE,PRV,No oficial
003533,COLEGIO DE SAN PEDRO APOSTOL,PRV,No oficial
003541,COLEGIO COLOMBO ARABE,PRV,No oficial
003558,SEMINARIO CONCILIAR SAN LUIS BELTRAN,PRV,No oficial
003566,COLEGIO FEMENINO SOFIA CAMARGO DE LLERAS,OFI,Oficial
003574,COLEGIO TECNOLOGICO DEL CARIBE,PRV,No oficial
003582,COLEGIO DE BACHILLERATO ENRICO FERMI,PRV,No oficial
003590,NORMAL SUPERIOR DEL DISTRITO DE BARRANQUILLA,OFI,Oficial
003608,INSTITUTO ALEXANDER VON HUMBOLDT,OFI,Oficial
003616,INSTITUTO AGUSTIN NIETO CABALLERO,PRV,No oficial
003624,INSTITUTO AGUSTIN NIETO CABALLERO,NOC,No oficial
003632,INSTITUTO ATLANTICO,PRV,No oficial
003665,FUNDACION EDUCATIVA INSTITUTO EXPERIMENTAL DEL ATLANTICO JOSE CELESTINO MUT,PRV,No oficial
003699,INSTITUCION EDUCATIVA INEM MIGUEL ANTONIO CARO,OFI,Oficial
003707,INSTITUCION EDUCATIVA INEM MIGUEL ANTONIO CARO,OFI,Oficial
003715,INSTITUTO TECNICO DE COMERCIO BARRANQUILLA,NOC,No oficial
003723,INSTITUCION EDUCATIVA POLITECNICO,OFI,Oficial
003731,COLEGIO CRISTIANO J.N. ANDREWS,PRV,No oficial
003749,INSTITUTO TECNICO DE COMERCIO BARRANQUILLA,OFI,Oficial
003756,INSTITUTO TECNICO NACIONAL DE COMERCIO,OFI,Oficial
003764,INSTITUTO TECNICO NACIONAL DE COMERCIO,OFI,Oficial
003772,INSTITUTO TECNICO NACIONAL DE COMERCIO,NOC,No oficial
003780,LICEO BOYACA,PRV,No oficial
003798,LICEO DE CERVANTES,PRV,No oficial
003806,LICEO MODERNO DEL NORTE,PRV,No oficial
003814,LICEO PANAMERICANO,PRV,No oficial
003830,LICEO SANTA TERESA,PRV,No oficial
003848,NORMAL SUPERIOR DE LA COSTA NORTE,PRV,No oficial
003855,ESCUELA NORMAL SUPERIOR LA HACIENDA,OFI,Oficial
003889,INSTITUCION EDUCATIVA DE BARANOA JULIO PANTOJA MALDONADO,OFI,Oficial
003905,LICEO NUESTRA SEÑORA DEL CARMEN,PRV,No oficial
003913,COLEGIO DE BACHILLERATO JUAN XXIII,OFI,Oficial
003921,COLEGIO MIXTO DE BACHILLERATO SAN LUIS BELTRAN DE MANATI,OFI,Oficial
003939,ESCUELA NORMAL SUPERIOR DE MANATI,OFI,Oficial
003947,COLEGIO DE BACHILLERATO SAN PABLO DE POLONUEVO,OFI,Oficial
003954,INSTITUCION EDUCATIVA COMERCIAL FRANCISCO JAVIER CISNEROS,OFI,Oficial
003962,ESCUELA NORMAL MIXTA MARINA ARIZA SANTIAGO,PRV,No oficial
003970,LICEO MODERNO DE SABANALARGA,NOC,No oficial
003988,INSTITUCION EDUCATIVA FEMENINO DE SABANALARGA,OFI,Oficial
003996,COLEGIO DE BACHILLERATO DE SABANALARGA,OFI,Oficial
004002,LICEO MODERNO DE SABANALARGA,PRV,No oficial
004010,ESCUELA NORMAL SANTA TERESITA,PRV,No oficial
004028,ESCUELA NORMAL SUPERIOR NUESTRA SEÑORA DE FATIMA,OFI,Oficial
004036,INSTITUCION EDUCATIVA DIVERSIFICADA ORIENTAL DE SANTO TOMAS,OFI,Oficial
004044,INSTITUTO OFICIAL DE BACHILLERATO DE SOLEDAD,OFI,Oficial
004051,INSTITUTO TECNICO COMERCIAL GIMNASIO PABLO VI DE SOLEDAD,PRV,No oficial
004069,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL BLAS TORRES DE LA TORRE,OFI,Oficial
004077,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL BLAS TORRES DE LA TORRE,OFI,Oficial
004085,COLEGIO DE BACHILLERATO MIXTO DE USIACURI,OFI,Oficial
004093,COLEGIO AMERICANO DE CARTAGENA,PRV,No oficial
004101,COLEGIO AMERICANO DE CARTAGENA,NOC,No oficial
004119,COLEGIO BIFFI,PRV,No oficial
004127,CENTRO NOCTURNO MADRE MARIA BERNARDA,NOC,No oficial
004135,COLEGIO DEL SAGRADO CORAZON DE JESUS,PRV,No oficial
004143,COLEGIO DE LA ESPERANZA,PRV,No oficial
004150,COLEGIO DE LA PRESENTACION,PRV,No oficial
004168,COLEGIO DE BACHILLERATO UNIVERSIDAD LIBRE,PRV,No oficial
004200,COLEGIO EL CARMELO,PRV,No oficial
004218,COLEGIO EUCARISTICO DE SANTA TERESA,PRV,No oficial
004226,COLEGIO MILITAR FERNANDEZ BUSTAMANTE,PRV,No oficial
004234,COLEGIO JORGE WASHINGTON,PRV,No oficial
004242,COLEGIO DE LA SALLE,PRV,No oficial
004259,COLEGIO DE BACHILLERATO MIXTO LA TRINIDAD,PRV,No oficial
004267,COLEGIO LEON XIII DE CARTAGENA,PRV,No oficial
004283,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,NOC,No oficial
004291,COLEGIO NUESTRA SEÑORA DE LOURDES,PRV,No oficial
004309,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,OFI,Oficial
004317,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,OFI,Oficial
004325,COLEGIO DE NUESTRA SEÑORA DE LA CANDELARIA,PRV,No oficial
004333,COLEGIO SALESIANO SAN PEDRO CLAVER,PRV,No oficial
004341,COLEGIO SAN CARLOS,PRV,No oficial
004358,COLEGIO SEMINARIO,OFI,Oficial
004366,ESCOLOMBIAS DE CARTAGENA,PRV,No oficial
004374,ESCOLOMBIAS DE CARTAGENA,NOC,No oficial
004390,COLEGIO ATANASIO GIRARDOT,PRV,No oficial
004408,GIMNASIO BOLIVAR MIXTO,PRV,No oficial
004416,INSTITUTO ANA MARIA VELEZ DE TRUJILLO,OFI,Oficial
004424,INEM JOSE MANUEL RODRIGUEZ TORICES,OFI,Oficial
004432,INEM JOSE MANUEL RODRIGUEZ TORICES,OFI,Oficial
