COD_PROG_CURRICULAR,PROG_CURRICULAR,SNIES
284,"MAESTRÍA EN PSICOANÁLISIS, SUBJETIVIDAD Y CULTURA (DE FREUD A LACAN)",52979
333,MAESTRÍA EN ENSEÑANZA DE LAS CIENCIAS EXACTAS Y NATURALES,55140
333,MAESTRÍA EN ENSEÑANZA DE LAS CIENCIAS EXACTAS Y NATURALES,55145
333,MAESTRÍA EN ENSEÑANZA DE LAS CIENCIAS EXACTAS Y NATURALES,55136
333,MAESTRÍA EN ENSEÑANZA DE LAS CIENCIAS EXACTAS Y NATURALES,55144
342,DOCTORADO EN CIENCIAS HUMANAS Y SOCIALES,55129
342,DOCTORADO EN CIENCIAS HUMANAS Y SOCIALES,55130
351,DOCTORADO EN INGENIERÍA - INDUSTRIA Y ORGANIZACIONES,55184
351,DOCTORADO EN INGENIERÍA - INDUSTRIA Y ORGANIZACIONES,55182
351,DOCTORADO EN INGENIERÍA - INDUSTRIA Y ORGANIZACIONES,55183
287,MAESTRÍA EN NEUROCIENCIAS,52743
288,ESPECIALIZACIÓN EN ALIMENTACIÓN Y NUTRICIÓN EN PROMOCIÓN DE LA SALUD,52748
289,MAESTRÍA EN INGENIERÍA MECÁNICA,52738
289,MAESTRÍA EN INGENIERÍA MECÁNICA,55152
290,MAESTRÍA EN INGENIERÍA INDUSTRIAL,55151
290,MAESTRÍA EN INGENIERÍA INDUSTRIAL,52740
290,MAESTRÍA EN INGENIERÍA INDUSTRIAL,101984
291,DOCTORADO EN INGENIERÍA - SISTEMAS Y COMPUTACIÓN,52729
292,MAESTRÍA EN ARQUITECTURA DE LA VIVIENDA,52732
293,MAESTRÍA INTERDISCIPLINARIA EN TEATRO Y ARTES VIVAS,52744
294,MAESTRÍA EN MUSEOLOGÍA Y GESTIÓN DEL PATRIMONIO,52741
295,MAESTRÍA EN ORDENAMIENTO URBANO-REGIONAL,52747
296,ESPECIALIZACIÓN EN INSTRUMENTOS DE ORDENAMIENTO URBANO - REGIONAL,52745
298,ESPECIALIZACIÓN EN FOTOGRAFÍA,52731
299,MAESTRÍA EN DIRECCIÓN SINFÓNICA,52734
300,MAESTRÍA EN DISEÑO MULTIMEDIA,52735
241,ESPECIALIZACIÓN EN PEDAGOGÍA DEL DISEÑO,53264
338,MAESTRÍA EN MORFOLOGÍA HUMANA,55138
356,MAESTRÍA EN FISIOTERAPIA DEL DEPORTE Y LA ACTIVIDAD FÍSICA,91522
357,MAESTRÍA EN COMUNICACIÓN Y MEDIOS,54576
359,MAESTRÍA EN CONTABILIDAD Y FINANZAS,101794
362,DOCTORADO EN CIENCIAS - BIOQUÍMICA,101982
363,MAESTRÍA EN MUSICOLOGÍA,101798
364,MAESTRÍA EN EDUCACIÓN ARTÍSTICA,101795
365,MAESTRÍA EN INGENIERÍA - INGENIERÍA ELECTRÓNICA,101796
369,DOCTORADO EN PSICOLOGÍA,103196
371,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,102864
371,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,102832
371,DOCTORADO EN INGENIERÍA - INGENIERÍA CIVIL,106344
372,INGENIERÍA  DE SISTEMAS Y COMPUTACIÓN,106661
DTS,CRÉDITOS PRIMER PLAN PARA DOBLE TITULACIÓN,0
375,ESPECIALIDAD EN RADIOLOGÍA PEDIÁTRICA,104924
377,MAESTRÍA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,52753
377,MAESTRÍA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,55148
379,MAESTRÍA EN CIENCIAS AGRARIAS,19887
379,MAESTRÍA EN CIENCIAS AGRARIAS,16884
380,MAESTRÍA EN GEOMÁTICA,19930
015,INGENIERÍA ELÉCTRICA,4122
015,INGENIERÍA ELÉCTRICA,120
015,INGENIERÍA ELÉCTRICA,27
016,INGENIERÍA MECÁNICA,122
016,INGENIERÍA MECÁNICA,28
017,INGENIERÍA QUÍMICA,123
017,INGENIERÍA QUÍMICA,29
017,INGENIERÍA QUÍMICA,4125
018,ODONTOLOGÍA,11
019,QUÍMICA,36
019,QUÍMICA,117010
020,FISIOTERAPIA,8
021,TERAPIA OCUPACIONAL,12
024,ECONOMÍA,114
024,ECONOMÍA,18
025,INGENIERÍA AGRÍCOLA,0
025,INGENIERÍA AGRÍCOLA,24
025,INGENIERÍA AGRÍCOLA,144
025,INGENIERÍA AGRÍCOLA,116
026,SOCIOLOGÍA,16
027,ANTROPOLOGÍA,13
027,ANTROPOLOGÍA,0
028,TRABAJO SOCIAL,15
029,CIENCIA POLÍTICA,16924
029,CIENCIA POLÍTICA,3140
030,DERECHO,17
033,INGENIERÍA DE SISTEMAS,26
034,FARMACIA,37
035,ESTUDIOS LITERARIOS,106654
036,CINE Y TELEVISIÓN,6
037,FILOLOGÍA E IDIOMAS,23
038,HISTORIA,21
038,HISTORIA,115
039,GEOGRAFÍA,0
039,GEOGRAFÍA,3103
039,GEOGRAFÍA,108083
042,MÚSICA,3100
043,MÚSICA INSTRUMENTAL,3101
044,ESPAÑOL Y FILOLOGÍA CLÁSICA,54036
045,INGENIERÍA ELECTRÓNICA,16941
045,INGENIERÍA ELECTRÓNICA,4123
046,LINGÜÍSTICA,16938
047,ARTES PLÁSTICAS,16919
047,ARTES PLÁSTICAS,2497
166,MAESTRÍA EN CIENCIAS - MATEMÁTICAS,141
166,MAESTRÍA EN CIENCIAS - MATEMÁTICAS,107
067,DOCTORADO EN CIENCIAS - SALUD ANIMAL O PRODUCCIÓN ANIMAL,106670
084,ESPECIALIZACIÓN EN ACTUARÍA,2602
085,ESPECIALIDAD EN ANATOMOPATOLOGÍA VETERINARIA,16943
090,ESPECIALIZACIÓN EN ENFERMERÍA CARDIORRESPIRATORIA,54030
098,ESPECIALIZACIÓN EN DERECHO PRIVADO ECONÓMICO,106653
099,ESPECIALIDAD EN DERMATOLOGÍA,41
100,ESPECIALIZACIÓN EN DESARROLLO RURAL,16885
102,ESPECIALIZACIÓN EN ECONOMÍA PÚBLICA Y GESTIÓN PÚBLICA,0
104,ESPECIALIZACIÓN EN ESTADÍSTICA,85
104,ESPECIALIZACIÓN EN ESTADÍSTICA,106960
104,ESPECIALIZACIÓN EN ESTADÍSTICA,134
105,ESPECIALIDAD EN ESTOMATOLOGÍA PEDIÁTRICA Y ORTOPEDIA MAXILAR,54031
106,ESPECIALIZACIÓN EN ESTRUCTURAS,3194
106,ESPECIALIZACIÓN EN ESTRUCTURAS,55190
106,ESPECIALIZACIÓN EN ESTRUCTURAS,80
108,ESPECIALIDAD EN GASTROENTEROLOGÍA,45
109,ESPECIALIDAD EN HEMATOLOGÍA,16955
110,ESPECIALIZACIÓN EN HORTICULTURA,16886
111,ESPECIALIDAD EN INFECTOLOGÍA,16949
115,ESPECIALIZACIÓN EN DERECHO DE FAMILIA,2605
354,MAESTRÍA EN ESTUDIOS POLÍTICOS,19908
116,ESPECIALIZACIÓN EN DERECHO DEL TRABAJO,69
117,ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICO-PENALES,71
118,ESPECIALIZACIÓN EN DERECHO ADMINISTRATIVO,70
119,ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICO-PROCESALES,16950
121,ESPECIALIZACIÓN EN ENFERMERÍA MATERNO PERINATAL,63
420,DOCTORADO EN CIENCIAS - ASTRONOMÍA,106962
421,MAESTRÍA EN GOBIERNO URBANO,106963
422,MAESTRÍA EN INGENIERÍA - ANALÍTICA,106954
423,ESPECIALIZACIÓN EN BIONEGOCIOS,106957
424,ESPECIALIZACIÓN EN BIOINGENIERÍA,106959
425,ESPECIALIZACIÓN ACTUARÍA Y FINANZAS,106961
426,ESPECIALIZACIÓN EN ECONOMÍA DE LA CULTURA,106956
374,MAESTRÍA EN ACTUARÍA Y FINANZAS,102866
378,INGENIERÍA AGRONÓMICA,113
378,INGENIERÍA AGRONÓMICA,1
PES,PROGRAMA ESPECIAL,0
076,DOCTORADO EN ENFERMERÍA,19897
097,ESPECIALIZACIÓN EN DERECHO CONSTITUCIONAL,16947
103,ESPECIALIDAD EN ENDOCRINOLOGÍA,61
107,ESPECIALIZACIÓN EN FARMACOLOGÍA,84
114,ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICAS DE LA SEGURIDAD SOCIAL,16951
120,ESPECIALIZACIÓN EN MATEMÁTICA AVANZADA,133
120,ESPECIALIZACIÓN EN MATEMÁTICA AVANZADA,81
101,ESPECIALIZACIÓN EN SISTEMAS,16936
335,ESPECIALIZACIÓN EN INGENIERÍA HIDRÁULICA Y AMBIENTAL,55135
218,ESPECIALIZACIÓN EN ECONOMÍA INTERNACIONAL,2507
225,ESPECIALIZACIÓN EN VÍAS Y TRANSPORTE,19969
225,ESPECIALIZACIÓN EN VÍAS Y TRANSPORTE,2506
212,MAESTRÍA EN CIENCIAS - BIOTECNOLOGÍA,110723
212,MAESTRÍA EN CIENCIAS - BIOTECNOLOGÍA,106668
D01,DOCTORADO EN BIOTECNOLOGÍA (066),52728
D26,DOCTORADO EN CIENCIAS BIOMÉDICAS (313),52750
244,ESPECIALIZACIÓN EN MANEJO Y CONSERVACIÓN DE SUELOS Y AGUAS,16908
273,MAESTRÍA EN INGENIERÍA - INFRAESTRUCTURA Y SISTEMAS DE TRANSPORTE,103556
273,MAESTRÍA EN INGENIERÍA - INFRAESTRUCTURA Y SISTEMAS DE TRANSPORTE,52737
306,MAESTRÍA EN ESTUDIOS DEL CARIBE,19891
366,MAESTRÍA EN INGENIERÍA - RECURSOS MINERALES,102077
390,ESPECIALIZACIÓN EN ALTA GERENCIA,103822
400,DOCTORADO EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,106346
400,DOCTORADO EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,106334
400,DOCTORADO EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,106348
392,ESPECIALIZACIÓN EN MANTENIMIENTO,104790
328,MAESTRÍA EN COMUNICACIÓN Y MEDIOS,
PAM,PROGRAMA ESPECIAL DE ADMISIÓN Y MOVILIDAD,0
386,MAESTRÍA EN SEGURIDAD ALIMENTARIA Y NUTRICIONAL,103551
326,ESPECIALIZACIÓN ACCIÓN SIN DAÑO Y CONSTRUCCIÓN DE PAZ,54577
041,DISEÑO GRÁFICO,4
096,ESPECIALIDAD EN CIRUGÍA PLÁSTICA,40
153,MAESTRÍA EN ANTROPOLOGÍA,3909
345,DOCTORADO EN GEOCIENCIAS,55124
277,DOCTORADO EN ARTE Y ARQUITECTURA,52727
278,MAESTRÍA EN ESCRITURAS CREATIVAS,52746
282,MAESTRÍA EN EDUCACIÓN,52978
416,MAESTRÍA EN INTERPRETACIÓN Y PEDAGOGÍA INSTRUMENTAL,106672
229,DOCTORADO EN INGENIERÍA - AUTOMÁTICA,20493
355,DOCTORADO EN CIENCIAS DEL MAR,55146
148,ESPECIALIZACIÓN EN PSICOLOGÍA Y SALUD,
205,ESPECIALIZACIÓN EN GESTIÓN AMBIENTAL,16932
206,MAESTRÍA EN BOSQUES Y CONSERVACIÓN AMBIENTAL,142
207,ESPECIALIZACIÓN EN MANEJO DE PLANTACIONES FORESTALES,
209,ESPECIALIZACIÓN EN PLANEACIÓN URBANO-REGIONAL,131
210,MAESTRÍA EN ESTUDIOS URBANO - REGIONALES,139
211,ESPECIALIZACIÓN EN ÓPTICA TÉCNICA,
213,ESPECIALIZACIÓN EN BIOTECNOLOGÍA,16907
213,ESPECIALIZACIÓN EN BIOTECNOLOGÍA,16927
214,MAESTRÍA EN CIENCIAS - ENTOMOLOGÍA,2501
215,ESPECIALIZACIÓN EN ENTOMOLOGÍA,2500
279,MAESTRÍA EN INGENIERÍA ADMINISTRATIVA,52752
309,MAESTRÍA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,52753
234,ESPECIALIZACIÓN EN DIVULGACIÓN Y APROPIACIÓN DE LAS CIENCIAS Y LAS TÉCNICAS,55028
064,INGENIERÍA AGROINDUSTRIAL,16904
334,ESPECIALIZACIÓN EN AUDITORÍA DE SISTEMAS,55025
336,ESPECIALIZACIÓN EN GERENCIA ESTRATÉGICA DE PROYECTOS,55134
310,ESPECIALIZACIÓN EN ESTUDIOS AMAZÓNICOS,20491
314,MAESTRÍA EN ESTUDIOS AMAZÓNICOS,19920
216,ESPECIALIZACIÓN EN GEOMORFOLOGÍA DE SUELOS,
217,ESPECIALIZACIÓN EN CIENCIA POLÍTICA,16928
219,MAESTRÍA EN ESTÉTICA,2504
220,ESPECIALIZACIÓN EN ESTÉTICA,16929
221,ESPECIALIZACIÓN EN APROVECHAMIENTO DE RECURSOS HIDRÁULICOS,132
222,MAESTRÍA EN APROVECHAMIENTO DE RECURSOS HIDRÁULICOS,
223,MAESTRÍA EN CIENCIA Y TÉCNICA DEL CARBÓN,
226,ESPECIALIZACIÓN EN GERENCIA ORGANIZACIONAL,
227,ESPECIALIZACIÓN EN INGENIERÍA DE LA ADMINISTRACIÓN,
228,ESPECIALIZACIÓN EN MERCADOS DE ENERGÍA,19971
235,ESPECIALIZACIÓN EN GESTIÓN DE PROYECTOS DE DESARROLLO AGROINDUSTRIAL,20492
232,ESPECIALIZACIÓN EN GESTIÓN AGROAMBIENTAL,16931
233,ESPECIALIZACIÓN EN INGENIERÍA FINANCIERA,16933
233,ESPECIALIZACIÓN EN INGENIERÍA FINANCIERA,52975
237,ESPECIALIZACIÓN EN GESTIÓN INMOBILIARIA,21555
D02,DOCTORADO EN CIENCIAS - SALUD ANIMAL O PRODUCCIÓN ANIMAL (067),106670
D03,DOCTORADO EN CIENCIAS AGROPECUARIAS - ÁREA AGRARIA (068),16887
D03,DOCTORADO EN CIENCIAS AGROPECUARIAS - ÁREA AGRARIA (068),51672
D03,DOCTORADO EN CIENCIAS AGROPECUARIAS - ÁREA AGRARIA (068),19859
D04,DOCTORADO EN CIENCIAS - BIOLOGÍA (069),19892
D05,DOCTORADO EN CIENCIAS ECONÓMICAS (070),19895
D06,DOCTORADO EN CIENCIAS - ESTADÍSTICA (071),19893
D06,DOCTORADO EN CIENCIAS - ESTADÍSTICA (071),106673
D07,DOCTORADO EN CIENCIAS FARMACÉUTICAS (072),19894
D08,DOCTORADO EN CIENCIAS - FÍSICA (073),112
D09,DOCTORADO EN CIENCIAS - MATEMÁTICAS (074),2604
D09,DOCTORADO EN CIENCIAS - MATEMÁTICAS (074),2505
D10,DOCTORADO EN CIENCIAS - QUÍMICA (075),111
D11,DOCTORADO EN ENFERMERÍA (076),19897
D12,DOCTORADO EN FILOSOFÍA (077),110
D13,DOCTORADO EN HISTORIA (078),19860
D13,DOCTORADO EN HISTORIA (078),19896
D14,DOCTORADO EN INGENIERÍA - INGENIERÍA ELÉCTRICA (079),51674
D15,DOCTORADO EN INGENIERÍA - INGENIERÍA QUÍMICA (080),51676
D16,DOCTORADO EN INGENIERÍA - AUTOMÁTICA (229),2499
D16,DOCTORADO EN INGENIERÍA - AUTOMÁTICA (229),20493
D17,DOCTORADO EN SALUD PÚBLICA (231),19899
D18,DOCTORADO EN INGENIERÍA - GEOTECNIA (269),51675
D19,DOCTORADO EN INGENIERÍA - SISTEMAS ENERGÉTICOS (270),51671
D20,DOCTORADO EN INGENIERÍA - SISTEMAS (271),51669
D21,DOCTORADO EN INGENIERÍA - RECURSOS HIDRÁULICOS (272),51670
D22,DOCTORADO EN ARTE Y ARQUITECTURA (277),52727
