CODIGO_INTERNO,COD_DEPTO_PROCEDENCIA,COD_MUN_PROCEDENCIA,COD_DEPTO_RESIDENCIA,COD_MUN_RESIDENCIA,ESTRATO,COD_COLEGIO,MODACADEMICA,ANO_TERMINACION_COLEGIO,PBM_CALCULADO,PBM_COLEGIO,PBM_ASIGNADO,PUNTAJE_ADMISION,CONVOCATORIA,APERTURA,COD_ACCESO,COD_SUBACCESO,NODO_INICIO,COD_PLAN,HIST_ACADEMICA
469863,5,1,5,1,4,000240,No oficial,2022,100,,,"739,91",2017-1S,2017-1S,1,1,2,3534,528
469044,5,1,5,1,3,004754,Oficial,2016,14,,,"709,72",2017-1S,2017-1S,1,1,4,3534,615
470644,5,88,5,1,2,999993,No oficial,2015,12,,,"622,78",2016-1S,2016-1S,1,1,4,3534,631
471960,5,1,5,1,3,133272,Oficial,2022,100,,,"781,47",2016-2S,2016-2S,1,1,2,3534,729
472934,5,1,5,1,4,000315,No oficial,2022,100,,,"668,68",2016-1S,2016-1S,1,1,4,3534,778
472975,5,1,5,1,5,000760,No oficial,2017,63,,,"662,74",2018-1S,2018-1S,1,5,2,3534,542
473783,5,51,5,1,2,114959,Oficial,2016,2,,,"521,85",2017-2S,2017-2S,1,21,5,3534,537
474552,5,1,5,1,4,000240,No oficial,2015,67,,,"736,547",2023-2S,2023-2S,1,1,2,3534,1464
470966,5,282,5,1,3,001925,Oficial,2017,13,,,"650,48",2018-1S,2018-1S,1,1,4,3534,565
513117,5,1,5,1,2,004879,Oficial,2023,100,,,"552,28",2017-2S,2017-2S,1,1,4,5948,1517
509140,17,1,5,1,3,005892,Oficial,2012,14,,,"571,18",2016-1S,2016-1S,1,1,12,5948,1345
390934,5,1,5,1,3,132068,No oficial,2014,47,,,"785,73",2015-1S,2015-1S,1,1,2,2552,3281
410573,11,1,5,1,3,152686,Oficial,2016,24,,,,2017-2S,2020-2S,3,1,2,3534,519
413468,5,1,5,1,No Informa,000174,No oficial,2014,,,,"748,7",2017-2S,2017-2S,1,1,2,2552,3966
472002,5,1,5,1,5,000455,No oficial,2022,100,,,"741,06",2017-1S,2017-1S,1,1,2,3534,805
457155,5,1,5,1,5,000141,No oficial,2013,65,,,"704,49",2014-1S,2014-1S,1,1,4,3534,696
457167,11,1,5,1,4,019828,No oficial,2013,62,,,"664,3",2014-1S,2014-1S,1,1,4,3534,621
457728,5,1,5,1,3,114926,Oficial,2012,16,,,"597,34",2014-2S,2014-2S,1,1,4,3534,689
474978,5,1,5,1,4,011288,No oficial,2023,100,,,"689,78",2017-2S,2017-2S,1,1,4,3534,802
474748,5,1,5,1,3,053462,No oficial,2022,100,,,"704,34",2016-2S,2016-2S,1,1,2,3534,728
467315,5,1,5,1,2,000067,Oficial,2012,16,,,"631,86",2015-2S,2015-2S,1,1,4,3534,669
461137,5,1,5,1,3,085852,Oficial,2013,19,,,,2014-2S,2015-2S,3,1,2,3534,635
460376,5,1,5,1,3,000687,Oficial,2012,18,,,,2019-1S,2023-2S,3,1,2,3534,1505
547496,5,1,5,1,3,080283,Oficial,2016,29,,,"656,06",2017-1S,2017-1S,1,1,4,3534,807
547497,5,1,5,1,3,002378,Oficial,2023,100,,,"638,07",2017-1S,2017-1S,1,1,4,3534,673
473099,5,266,5,1,4,001826,No oficial,2017,76,,,"670,49",2018-1S,2018-1S,1,1,2,3534,526
470576,5,1,5,1,3,001115,No oficial,2016,47,,,"735,7",2017-1S,2017-1S,1,1,2,3534,739
470287,5,1,5,1,4,155036,No oficial,2023,100,,,"614,47",2016-2S,2016-2S,1,1,4,3534,595
465396,5,1,5,1,3,054601,Oficial,2016,19,,,"828,54",2017-1S,2017-1S,1,1,2,3534,744
469402,11,1,5,1,3,024372,No oficial,2004,42,,,"602,62",2016-2S,2016-2S,1,1,4,3534,741
469471,5,1,5,1,3,999993,No oficial,2015,15,,,"643,17",2016-1S,2016-1S,1,1,4,3534,630
478471,5,1,5,1,2,050963,Oficial,2015,13,,,"720,65",2016-1S,2016-1S,1,1,4,3534,719
475491,5,1,5,1,2,109967,Oficial,2015,9,,,"645,64",2016-1S,2016-1S,1,1,4,3534,804
475492,5,1,5,1,4,001073,No oficial,2014,57,,,"667,77",2015-2S,2015-2S,1,1,4,3534,750
